ticker,cnpj,fund_name,provider,underlying_index,segment,situacao,is_active,dt_cancel,gestor,taxa_adm,blackrock_product_id,blackrock_csv_url
BOVX11,40155573000109,TREND ETF IBOVESPA CLASSE DE ÍNDICE -  RESPONSABILIDADE LIMITADA,XP Asset (Trend),Ibovespa,equities_br,Em Funcionamento Normal,True,,,,,
BPRE11,62363807000146,B-INDEX ETF IRF-M P2 FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,B-Index (Bradesco),IRF-M P2 (Prefixado),fixed_income_br,Em Funcionamento Normal,True,,,,,
BRAX11,11455378000104,ISHARES IBRX - ÍNDICE  BRASIL (IBrX-100) CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,BlackRock (iShares),IBrX-100,equities_br,Em Funcionamento Normal,True,,,,251817,https://www.blackrock.com/br/products/251817/ishares-ibrxndice-brasil-ibrx100-fundo-de-ndice-fund/1506433276998.ajax?fileType=csv&fileName=BRAX11_holdings&dataType=fund
BRAZ11,57848980000102,BB ETF ÍNDICE BOVESPA B3 BR+ FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,BB Asset,Ibovespa B3 BR+,equities_br,Em Funcionamento Normal,True,,,,,
BREW11,48643130000179,B-INDEX MORNINGSTAR BRASIL PESOS IGUAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA,B-Index (Bradesco),Morningstar Brasil Pesos Iguais,equities_br,Em Funcionamento Normal,True,,,,,
BRXC11,59506849000184,BTG PACTUAL TEVA IABR SELECTOR FUNDO DE ÍNDICE,BTG Pactual,TEVA IABR Selector,equities_br,Em Funcionamento Normal,True,,,,,
BULZ11,63428769000125,GENIAL TEVA AÇÕES HIGH BETA CLASSE DE ÍNDICE RESP LIMITADA,Genial Investimentos,Ações High Beta,equities_br,Em Funcionamento Normal,True,,,,,
BVBR11,63407496000132,INVESTO CONSTÂNCIA FATORES DEFENSIVIDADE FUNDO DE ÍNDICE,Investo,Constância Fatores Defensividade,equities_br,Em Funcionamento Normal,True,,,,,
BXPO11,45814375000123,INVESTO MARKETVECTOR BRAZIL GLOBAL EXPOSURE ETF CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,Investo,MarketVector Brazil Global Exposure,equities_br,Em Funcionamento Normal,True,,,,,
CAPE11,60553995000140,ISHARES BOVESPA BR+ CAP 5% B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,BlackRock (iShares),Ibovespa BR+ Cap 5%,equities_br,Em Funcionamento Normal,True,,,,342108,https://www.blackrock.com/br/products/342108/ishares-bovespa-br+-cap-5-fundo-de-ndice/1506433276998.ajax?fileType=csv&fileName=CAPE11_holdings&dataType=fund
CASA11,59680030000139,BUENA VISTA NEOS REAL ESTATE HIGH INCOME BR INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,Buena Vista,Neos Real Estate High Income BR,real_estate,Em Funcionamento Normal,True,,,,,
CHIP11,42280376000147,INVESTO ETF US LISTED SEMICONDUCTOR 25 INDEX CLASSE DE ÍNDICE IE,Investo,MVIS US Listed Semiconductor 25,equities_intl,Em Funcionamento Normal,True,,,,,
CLOB11,63082782000175,BTG PACTUAL DYNAMIC BALANCED CLO FUNDO DE ÍNDICE,BTG Pactual,,fixed_income_intl,Em Funcionamento Normal,True,,,,,
CMDB11,43391410000113,BTG PACTUAL TEVA AÇÕES COMMODITIES BRASIL FUNDO DE ÍNDICE,BTG Pactual,TEVA Ações Commodities Brasil,equities_br,Em Funcionamento Normal,True,,,,,
COIN11,57920798000107,BUENA VISTA NEOS BITCOIN HIGH INCOME INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,Buena Vista,Neos Bitcoin High Income Index,crypto,Em Funcionamento Normal,True,,,,,
CORN11,46467170000181,BB ETF ÍNDICE FUTURO DE MILHO B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,BB Asset,Índice Futuro Milho B3,commodities,Em Funcionamento Normal,True,,,,,
CRPT11,36669709000121,EMPIRICUS TEVA CRIPTOMOEDAS TOP20 FUNDO DE ÍNDICE,Empiricus,Criptomoedas Top20,crypto,Em Funcionamento Normal,True,,,,,
DEBB11,45064129000100,BTG PACTUAL TEVA DEBÊNTURES DI FUNDO DE ÍNDICE,BTG Pactual,TEVA Debêntures DI,fixed_income_br,Em Funcionamento Normal,True,,,,,
DEFI11,40755515000116,HASHDEX DEFI INDEX FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,Hashdex,Hashdex DeFi Index,crypto,Em Funcionamento Normal,True,,,,,
DIVD11,54314981000170,IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,Itaú (It Now),IDIV Renda Dividendos,equities_br,Em Funcionamento Normal,True,,,,,
DIVO11,13416245000146,IT NOW IDIV FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,Itaú (It Now),IDIV (Dividendos),equities_br,Em Funcionamento Normal,True,,,,,
DNAI11,41054459000155,IT NOW MSCI USA IMI GENOMIC INNOVATION SELECT 50 FUNDO DE INDICE,Itaú (It Now),MSCI USA IMI Genomic Innovation,equities_intl,CANCELADA,False,2024-09-06,ITAU UNIBANCO ASSET MANAGEMENT LTDA.,,,
DOLA11,55620015000144,BB ETF ÍNDICE FUTURO DE DOLAR S&P/B3 FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,BB Asset,Índice Futuro Dólar S&P/B3,multi_asset,Em Funcionamento Normal,True,,,,,
DOLB11,60310645000152,BTG PACTUAL REFERENCE S&P/B3 CAMBIAL FUNDO DE ÍNDICE,BTG Pactual,S&P/B3 Cambial,multi_asset,Em Funcionamento Normal,True,,,,,
DOLX11,63747438000158,TREND ETF S&P / B3 DOLAR CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,XP Asset (Trend),S&P/B3 Dólar,multi_asset,Em Funcionamento Normal,True,,,,,
DVER11,52203750000164,BB ETF ÍNDICE DIVERSIDADE B3 INVESTIMENTO SUSTENTÁVEL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,BB Asset,Índice Diversidade B3 IS,equities_br,Em Funcionamento Normal,True,,,,,
ECOO11,15562377000101,ISHARES INDICE CARBONO EFICIENTE (ICO2)  BRASIL IS CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,BlackRock (iShares),ICO2 (Carbono Eficiente),equities_br,Em Funcionamento Normal,True,,,,251711,https://www.blackrock.com/br/products/251711/ishares-ndice-carbono-eficiente-ico2-brasil-fundo-de-ndice-fund/1506433276998.ajax?fileType=csv&fileName=ECOO11_holdings&dataType=fund
ELAS11,43210658000130,SAFRA ETF MULHERES NA LIDERANÇA FUNDO DE ÍNDICE DE AÇÕES INVESTIMENTO SUSTENTÁVEL - RESP LIMITADA,Safra Asset,Mulheres na Liderança (S&P),equities_br,Em Funcionamento Normal,True,,,,,
ESGB11,37843293000189,BTG PACTUAL ESG FUNDO DE ÍNDICE S&P/B3 BRAZIL ESG,BTG Pactual,S&P/B3 Brazil ESG,equities_br,Em Funcionamento Normal,True,,,,,
ESGD11,40953905000109,TREND ETF MSCI EAFE ESG FUNDO DE INVESTIMENTO DE ÍNDICE - INVESTIMENTO NO EXTERIOR IS,XP Asset (Trend),MSCI EAFE ESG,equities_intl,CANCELADA,False,2024-12-19,XP ALLOCATION ASSET MANAGEMENT LTDA.,,,
ESGE11,40953725000119,TREND ETF MSCI EMERGING MARKETS ESG FUNDO DE INVESTIMENTO DE ÍNDICE - INVESTIMENTO NO EXTERIOR IS,XP Asset (Trend),MSCI Emerging Markets ESG,equities_intl,CANCELADA,False,2024-12-19,XP ALLOCATION ASSET MANAGEMENT LTDA.,,,
ESGU11,40953254000149,TREND ETF MSCI USA ESG FUNDO DE INVESTIMENTO DE ÍNDICE - INVESTIMENTO NO EXTERIOR IS,XP Asset (Trend),MSCI USA ESG,equities_intl,CANCELADA,False,2024-10-10,XP ALLOCATION ASSET MANAGEMENT LTDA.,,,
ETHE11,41907631000176,HASHDEX NASDAQ ETHEREUM REFERENCE PRICE FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,Hashdex,Nasdaq Ethereum Reference Price,crypto,Em Funcionamento Normal,True,,,,,
EURP11,38595988000151,TREND ETF MSCI EUROPA FUNDO DE INVESTIMENTO ÍNDICE - INV. EXTERIOR,XP Asset,MSCI Europe Index,equities_intl,Em Funcionamento Normal,True,,,,,
EWBZ11,60554347000108,ISHARES BOVESPA BR+ EQUAL WEIGHT B3 CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,BlackRock (iShares),Ibovespa BR+ Equal Weight,equities_br,Em Funcionamento Normal,True,,,,341926,https://www.blackrock.com/br/products/341926/ishares-bovespa-br+-equal-weight-fundo-de-ndice/1506433276998.ajax?fileType=csv&fileName=EWBZ11_holdings&dataType=fund
FIND11,11961094000181,IT NOW IFNC FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,Itaú (It Now),IFNC (Financeiro),equities_br,Em Funcionamento Normal,True,,,,,
FIXA11,26845780000164,BB ETF RENDA FIXA PRÉ ÍNDICE FUTURO DE TAXAS DE JUROS S&P/B3  FUNDO DE ÍNDICE RESP LIMITADA,BB Asset,Índice Futuro Taxas Juros S&P/B3,fixed_income_br,Em Funcionamento Normal,True,,,,,
FIXX11,59783336000110,BUENA VISTA NEOS ENCHANCED INCOME 1-3 MONTH T-BILL ETF BR INDEX FUNDO DE ÍNDICE - RESP LIMITADA,Buena Vista,Neos Enhanced Income 1-3M T-Bill,fixed_income_intl,Em Funcionamento Normal,True,,,,,
FOMO11,47758831000190,Hashdex Crypto Momentum Fundo de Índice,Hashdex,Hashdex Crypto Momentum,crypto,Em Funcionamento Normal,True,,,,,
GDIV11,63209544000188,BUENA VISTA DEX NEOS INTERNATIONAL HIGH INCOME FUNDO DE ÍNDICE DE RESPONSABILIDADE LIMITADA,Buena Vista,Neos International High Income,equities_intl,Em Funcionamento Normal,True,,,,,
GENB11,42134357000102,BTG PACTUAL S&P/B3 INGENIUS FUNDO DE ÍNDICE,BTG Pactual,S&P/B3 Ingenius,equities_br,Em Funcionamento Normal,True,,,,,
GICP11,61736225000103,GENIAL TEVA DEBÊNTURES DI QUALITY HIGH BETA  FUNDO DE ÍNDICE,BTG Pactual,TEVA Debêntures DI Quality High Beta,fixed_income_br,Em Funcionamento Normal,True,,,,,
GLDI11,63289842000125,IT NOW GOLD BRL FUNDO DE ÍNDICE RESPONSABILIDADE LIMITADA,Itaú (It Now),Ouro BRL,commodities,Em Funcionamento Normal,True,,,,,
GLDX11,43210419000180,INVESTO ETF SOLACTIVE GOLD SPOT INDEX FUNDO DE ÍNDICE,Investo,Solactive Gold Spot Index,commodities,Em Funcionamento Normal,True,,,,,
GLFT11,62794396000143,GALAPAGOS TEVA TESOURO SELIC FUNDO DE ÍNDICE,Galapagos Capital,TEVA Tesouro Selic,fixed_income_br,Em Funcionamento Normal,True,,,,,
GOLB11,62415896000127,BTG PACTUAL FUTURO DE OURO B3 FUNDO DE ÍNDICE,BTG Pactual,Futuro de Ouro B3,commodities,Em Funcionamento Normal,True,,,,,
GOLD11,37985763000149,TREND ETF LBMA OURO CLASSE DE ÍNDICE INVESTIMENTO NO EXTERIOR - RESPONSABILIDADE LIMITADA,XP Asset (Trend),LBMA Ouro (USD),commodities,Em Funcionamento Normal,True,,,,,
GOLX11,63715020000169,TREND ETF B3 OURO CLASSE DE ÍNDICE - RESPONSABILIDADE LIMITADA,BTG Pactual,B3 Ouro,commodities,Em Funcionamento Normal,True,,,,,
GOVE11,11184136000115,IT NOW IGCT FUNDO DE INDICE INVESTIMENTO SUSTENTÁVEL RESPONSABILIDADE LIMITADA,Itaú (It Now),IGCT (Governança Corporativa),equities_br,Em Funcionamento Normal,True,2011-10-03,,,,
GPCA11,65819277000196,CLASSE ÚNICA GRÃO TEVA ITBR TESOURO IPCA 2 ANOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,Grão Gestora,TEVA ITBR Tesouro IPCA 2 Anos,fixed_income_br,Em Funcionamento Normal,True,,,,,
GPUS11,60832345000133,INVESTO GP ETF S&P 500 FUNDO DE ÍNDICE,Investo,S&P 500 (GP),equities_intl,Em Funcionamento Normal,True,,,,,
GURU11,43955479000122,INTER EQI TEVA ETF GRANDES GURUS DO MERCADO FUNDO DE ÍNDICE,Inter,Grandes Gurus do Mercado,equities_intl,CANCELADA,False,2024-11-26,INTER ASSET GESTÃO DE RECURSOS LTDA.,,,
GXUS11,63429736000108,GALAPAGOS FTSE GLOBAL EQUITIES EX US FUNDO DE ÍNDICE,Galapagos Capital,FTSE Global Equities Ex-US,equities_intl,Em Funcionamento Normal,True,,,,,
HASH11,38314708000190,HASHDEX NASDAQ CME CRYPTO INDEX FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA,Hashdex,Nasdaq CME Crypto Index,crypto,Em Funcionamento Normal,True,,,,,
